Source,BIX,FI
leaves,0.07,0.54
leaves,0.19,0.33
leaves,0.09,0.5
plants,0.02,1.25
plants,0.1,1.3
plants,0.04,1.21
plants,0.08,1.31
algae,0.66,1.46
algae,0.66,1.37
algae,0.69,1.54
algae,0.55,1.37
algae,0.59,1.39
algae,0.59,1.34
algae,0.75,1.39
compost,0.4,0.9
compost,0.12,0.63
compost,0.89,1.01
compost,0.71,1.16
soil,0.68,1.37
soil,0.55,1.22
soil,0.65,1.3
soil,0.53,1.2
soil,0.63,1.27
soil,0.67,1.32
soil,0.58,1.27
soil,0.62,1.25
soil,0.74,1.42
soil,0.68,1.35
soil,0.64,1.33
soil,0.58,1.2
soil,0.8,1.44
soil,0.67,1.31
soil,0.6,1.24
effluent,0.71,1.34
effluent,0.7,1.35
effluent,0.81,1.33
effluent,0.75,1.28
effluent,0.73,1.3
sewage,1.09,1.57
sewage,1.06,1.5
sewage,1.12,1.5
sewage,1.22,1.51
sewage,1.11,1.57
sewage,1.02,1.55
sewage,1.03,1.52
sewage,1.01,1.49
sewage,1.05,1.55
sewage,1.09,1.5
sewage,1.41,1.61
sewage,1.53,1.58
sewage,1.12,1.69
sewage,1.28,1.58
sewage,1.32,1.53
sewage,1.32,1.54
sewage,1.28,1.59
sewage,1.08,1.56
