spot,Temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O
광산(3.3),11.4,6.9,6.3,10.7,14,28.2,412,9.069,8.582,1.16,7.048,0.403,0.249,0.232,40,11.9,210000,96000,66,1.1,-1.3
영산포2(3.4),10.8,7.4,9.9,6.2,9.1,16.7,425,9.263,9.093,2.651,6.106,0.118,0.113,0.074,21.2,8.4,,,59.1,9.3,3.1
함평(3.4),10.2,7.5,10.4,6.1,9,15.8,431,8.412,8.243,2.979,5.094,0.136,0.091,0.064,23.1,8,,,61.4,8.6,2.7
고막원천4(3.4),8.6,7.3,10.8,7.4,14.1,82.5,244,5.931,5.506,3.569,0.777,0.4,0.266,0.256,30.7,11.7,,,58.7,5,0.9
황룡강5(3.3),10.6,7.9,11.5,10.6,9,39.9,322,1.976,1.82,1.137,0.218,0.086,0.022,0.005,36.4,8.3,28000,2500,47,6.5,4.1
지석천4(3.3),11.2,8,12.2,10.1,12.5,28.4,251,3.346,3.094,2.39,0.098,0.186,0.115,0.111,95.8,9.2,27000,3700,25.7,9.1,2.5
영암천2(3.4),10.9,7.7,12.3,6.9,9.2,27.7,1484,4.897,4.651,3.301,0.608,0.227,0.134,0.123,58.7,8,,,387.2,12,3.7
대강(3.31),16.4,7.4,10.4,5,8.5,48.8,210,1.889,,,,0.137,,,,7.6,,,,6.1,2.2
추령천(3.31),12.4,6.9,10.5,2.7,5.1,6.5,157,3.309,,,,0.05,,,17.3,3.6,,,,8.1,3.3
계산(4.9),,,,,,,,,2.946,2.486,,,,,,,,,,5.2,3.4
